Date,META,BRK-B,GOOGL,MSFT,AMZN,NFLX,AMD,NVDA,SPOT,AAPL,TSLA,GOOG
2022-06-24,68736000,6451900,41164000,33923200,69867600,12424000,88553900,47215300,2563300,89116800,95770800,39122000
2022-06-27,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-28,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-29,28595200,0,24716000,20069800,66375300,0,0,0,3052800,66242400,0,18628000
2022-06-30,0,4623500,0,0,0,0,0,0,0,0,0,0
2022-07-01,0,3667300,35476000,22837700,73021200,5201600,0,0,1987500,71051600,74460300,31028000
2022-07-05,28618600,3676900,39342000,22941000,76583700,7334300,95589000,65139700,2555600,73353800,84581100,36398000
2022-07-06,23085900,3033900,37432000,23824400,66958900,0,85458900,52906600,0,74064300,71853600,28852000
2022-07-07,24083400,3949700,40936000,20859900,57872300,6334500,83640900,49290300,1544100,66253700,81930600,32184000
2022-07-08,19249200,2983400,38238000,19658800,45719700,5835700,83405900,46797200,1433700,64547800,101854200,29082000
2022-07-11,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-12,0,0,0,0,0,0,0,0,0,77588800,0,0
2022-07-13,16555100,4197400,0,29497400,61353800,12734400,79355000,52191800,1443500,71185600,97954500,0
2022-07-14,0,3888500,37004000,25102800,51163100,0,83493600,45623500,0,78140700,78557400,32366000
2022-07-15,23342800,4547400,0,29774100,84317800,16319100,76050600,38593500,1608100,76259900,69683100,0
2022-07-18,23574300,0,0,0,0,0,0,0,0,0,0,0
2022-07-19,25933700,3590200,36530900,25012600,60990000,28178700,85047500,70236600,1964500,82982400,80890200,30992300
2022-07-20,24784300,3877200,35600400,22788300,71268300,53920300,88348600,76053800,2075800,64823400,88864200,26780100
2022-07-21,27195800,0,32676200,22404700,60239900,23430100,90449300,55704900,2381400,65086600,142032300,0
2022-07-22,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-25,0,3136300,0,0,0,0,70083000,48074800,0,0,0,0
2022-07-26,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-27,43846600,3613200,59858500,45994000,61582000,10508400,78301600,56977600,0,78620700,88110000,41474600
2022-07-28,0,3986900,32816600,33459300,82245500,8972700,79009200,47464600,0,81378700,84723000,23303800
2022-07-29,42065400,6976200,37223400,32152800,148892900,9064900,76630700,43546000,1708100,101786900,95313000,31336200
2022-08-01,40596700,0,0,21539600,76846900,5525000,96477500,47646900,1684000,67829400,0,0
2022-08-02,27374500,0,20236000,0,0,0,116734100,48952700,1116100,0,95577600,17911000
2022-08-03,31721900,0,28499000,23518900,71827800,6400700,131142000,41814600,1698500,82507500,80091000,25302800
2022-08-04,23938200,0,21602900,18098700,70585000,7142700,125855800,40965200,1459200,0,0,15757700
2022-08-05,25832700,3395400,19159500,16774600,50686900,5539700,93859900,38606800,1304100,56697000,0,15615700
2022-08-08,27299100,0,0,0,0,10982100,92606800,98185900,0,0,0,0
2022-08-09,0,0,0,23405200,0,0,0,0,0,63135500,0,0
2022-08-10,30262100,0,30930400,24687800,0,9254800,83416100,59742200,1369800,70170500,0,20497000
2022-08-11,0,0,0,0,0,0,0,0,1985500,0,0,0
2022-08-12,0,3231300,19096300,22619700,47643500,6098500,72316300,47809400,0,68039400,79657200,16121100
2022-08-15,15878700,2927200,19494800,18085700,39014600,6527400,61327100,45766600,0,54091700,89359200,15525000
2022-08-16,21156700,3342600,19041200,18102900,59102900,0,0,0,0,56377100,0,15626200
2022-08-17,0,0,0,18253400,0,0,0,0,0,79542000,68766000,0
2022-08-18,18844500,0,17987700,0,37458700,5280400,76059500,41544700,1102400,62290100,0,15652000
2022-08-19,0,0,0,0,0,7504700,0,0,0,0,0,0
2022-08-22,0,0,0,0,0,0,0,0,1213700,0,0,0
2022-08-23,0,2592100,15870400,0,36252100,0,52927000,36998600,0,54147100,63984900,14390700
2022-08-24,20891500,3266100,17734600,18137000,38627000,5426300,56520400,52266100,702000,53841500,0,16051200
2022-08-25,15550500,3463700,16956800,16583400,37496300,3766900,61016200,77069100,860500,51218200,0,14874700
2022-08-26,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,0,0,0,0,0,7109400,0,0,966000,73314000,41864700,0
2022-08-30,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-31,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,30145700,3765000,28360900,23263400,56636100,7292900,0,0,1570600,74229900,54287000,22784400
2022-09-02,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-06,0,0,0,0,0,0,0,0,0,0,55860000,0
2022-09-07,16831200,3509900,23167000,24126700,47900300,8149300,67891200,51265700,652300,87449600,50028900,22987200
2022-09-08,22530800,3542300,24238300,20319900,43988500,6737400,89089300,62487300,857900,0,53713100,21660700
2022-09-09,22086800,3125100,23197700,22084700,49387600,6699600,68907700,48661200,1616600,68028800,54338100,21732900
2022-09-12,23220400,3407900,0,18747700,53826900,6047400,0,48415900,0,104956000,48674600,0
2022-09-13,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-14,0,0,26395100,0,45316800,8230300,71483000,0,1210400,87965400,72628700,22115800
2022-09-15,0,0,0,0,0,19454100,81818000,0,1336400,0,64795500,0
2022-09-16,0,0,42797200,39791800,115667800,18914200,75300200,67075100,0,0,87087800,64540100
2022-09-19,22169500,3291500,23036800,26826900,47279700,0,64966900,56968500,0,81474200,60231200,19738600
2022-09-20,23217400,0,0,26660300,0,16037400,0,0,0,107689800,61642800,0
2022-09-21,0,0,0,0,0,0,0,80767900,0,0,0,0
2022-09-22,34418500,0,34298600,31061200,55229200,10018000,0,0,0,86652500,0,21272700
2022-09-23,0,5175100,0,0,0,0,0,66330900,0,0,0,0
2022-09-26,0,0,27072700,27694200,62723300,0,0,0,1578400,93339400,58076900,22437900
2022-09-27,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-28,32658500,5941800,32466300,29029700,55763800,17579700,72389500,54241400,1016900,146691400,54664800,24617000
2022-09-29,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-30,0,0,0,0,0,0,0,56563800,0,0,0,0
